Categoría: Todas las categorías

Semana,Constellation Brand: (Todo el mundo)
2014-02-16,60
2014-02-23,25
2014-03-02,17
2014-03-09,0
2014-03-16,50
2014-03-23,33
2014-03-30,17
2014-04-06,52
2014-04-13,35
2014-04-20,17
2014-04-27,17
2014-05-04,25
2014-05-11,51
2014-05-18,36
2014-05-25,19
2014-06-01,19
2014-06-08,19
2014-06-15,38
2014-06-22,19
2014-06-29,19
2014-07-06,29
2014-07-13,39
2014-07-20,20
2014-07-27,20
2014-08-03,40
2014-08-10,29
2014-08-17,19
2014-08-24,19
2014-08-31,27
2014-09-07,36
2014-09-14,18
2014-09-21,44
2014-09-28,18
2014-10-05,71
2014-10-12,26
2014-10-19,18
2014-10-26,18
2014-11-02,52
2014-11-09,35
2014-11-16,53
2014-11-23,26
2014-11-30,59
2014-12-07,34
2014-12-14,69
2014-12-21,19
2014-12-28,28
2015-01-04,33
2015-01-11,33
2015-01-18,32
2015-01-25,48
2015-02-01,48
2015-02-08,33
2015-02-15,66
2015-02-22,16
2015-03-01,48
2015-03-08,56
2015-03-15,48
2015-03-22,68
2015-03-29,33
2015-04-05,41
2015-04-12,17
2015-04-19,32
2015-04-26,16
2015-05-03,24
2015-05-10,0
2015-05-17,16
2015-05-24,16
2015-05-31,32
2015-06-07,0
2015-06-14,33
2015-06-21,25
2015-06-28,65
2015-07-05,49
2015-07-12,16
2015-07-19,16
2015-07-26,48
2015-08-02,32
2015-08-09,16
2015-08-16,40
2015-08-23,39
2015-08-30,15
2015-09-06,16
2015-09-13,23
2015-09-20,15
2015-09-27,15
2015-10-04,23
2015-10-11,45
2015-10-18,15
2015-10-25,45
2015-11-01,59
2015-11-08,37
2015-11-15,45
2015-11-22,37
2015-11-29,22
2015-12-06,22
2015-12-13,31
2015-12-20,60
2015-12-27,17
2016-01-03,81
2016-01-10,15
2016-01-17,54
2016-01-24,47
2016-01-31,47
2016-02-07,55
2016-02-14,31
2016-02-21,31
2016-02-28,31
2016-03-06,38
2016-03-13,31
2016-03-20,47
2016-03-27,47
2016-04-03,55
2016-04-10,31
2016-04-17,39
2016-04-24,31
2016-05-01,47
2016-05-08,31
2016-05-15,16
2016-05-22,24
2016-05-29,16
2016-06-05,40
2016-06-12,63
2016-06-19,49
2016-06-26,64
2016-07-03,17
2016-07-10,33
2016-07-17,25
2016-07-24,83
2016-07-31,17
2016-08-07,0
2016-08-14,36
2016-08-21,26
2016-08-28,41
2016-09-04,16
2016-09-11,33
2016-09-18,48
2016-09-25,0
2016-10-02,96
2016-10-09,48
2016-10-16,47
2016-10-23,32
2016-10-30,55
2016-11-06,30
2016-11-13,16
2016-11-20,47
2016-11-27,52
2016-12-04,29
2016-12-11,60
2016-12-18,31
2016-12-25,33
2017-01-01,46
2017-01-08,14
2017-01-15,58
2017-01-22,29
2017-01-29,22
2017-02-05,29
2017-02-12,57
2017-02-19,29
2017-02-26,50
2017-03-05,35
2017-03-12,42
2017-03-19,51
2017-03-26,58
2017-04-02,22
2017-04-09,22
2017-04-16,43
2017-04-23,50
2017-04-30,51
2017-05-07,36
2017-05-14,54
2017-05-21,39
2017-05-28,46
2017-06-04,38
2017-06-11,47
2017-06-18,45
2017-06-25,55
2017-07-02,31
2017-07-09,54
2017-07-16,64
2017-07-23,54
2017-07-30,30
2017-08-06,60
2017-08-13,31
2017-08-20,37
2017-08-27,90
2017-09-03,22
2017-09-10,44
2017-09-17,44
2017-09-24,44
2017-10-01,51
2017-10-08,36
2017-10-15,22
2017-10-22,28
2017-10-29,94
2017-11-05,57
2017-11-12,14
2017-11-19,21
2017-11-26,42
2017-12-03,57
2017-12-10,21
2017-12-17,45
2017-12-24,16
2017-12-31,74
2018-01-07,28
2018-01-14,34
2018-01-21,61
2018-01-28,41
2018-02-04,27
2018-02-11,21
2018-02-18,34
2018-02-25,20
2018-03-04,33
2018-03-11,47
2018-03-18,61
2018-03-25,56
2018-04-01,55
2018-04-08,41
2018-04-15,48
2018-04-22,89
2018-04-29,55
2018-05-06,69
2018-05-13,90
2018-05-20,63
2018-05-27,14
2018-06-03,28
2018-06-10,47
2018-06-17,68
2018-06-24,61
2018-07-01,55
2018-07-08,42
2018-07-15,57
2018-07-22,28
2018-07-29,21
2018-08-05,20
2018-08-12,96
2018-08-19,83
2018-08-26,41
2018-09-02,54
2018-09-09,100
2018-09-16,40
2018-09-23,53
2018-09-30,54
2018-10-07,93
2018-10-14,75
2018-10-21,80
2018-10-28,88
2018-11-04,40
2018-11-11,40
2018-11-18,41
2018-11-25,33
2018-12-02,54
2018-12-09,34
2018-12-16,35
2018-12-23,23
2018-12-30,43
2019-01-06,74
2019-01-13,87
2019-01-20,46
2019-01-27,92
2019-02-03,46
2019-02-10,45
