Categoría: Todas las categorías

Semana,love: (Todo el mundo)
2014-02-16,82
2014-02-23,77
2014-03-02,75
2014-03-09,72
2014-03-16,74
2014-03-23,72
2014-03-30,75
2014-04-06,76
2014-04-13,81
2014-04-20,77
2014-04-27,76
2014-05-04,78
2014-05-11,77
2014-05-18,79
2014-05-25,76
2014-06-01,75
2014-06-08,76
2014-06-15,77
2014-06-22,76
2014-06-29,75
2014-07-06,80
2014-07-13,80
2014-07-20,83
2014-07-27,82
2014-08-03,81
2014-08-10,80
2014-08-17,82
2014-08-24,79
2014-08-31,77
2014-09-07,76
2014-09-14,77
2014-09-21,75
2014-09-28,75
2014-10-05,76
2014-10-12,78
2014-10-19,80
2014-10-26,78
2014-11-02,80
2014-11-09,82
2014-11-16,78
2014-11-23,81
2014-11-30,78
2014-12-07,80
2014-12-14,81
2014-12-21,88
2014-12-28,88
2015-01-04,80
2015-01-11,81
2015-01-18,79
2015-01-25,79
2015-02-01,86
2015-02-08,100
2015-02-15,87
2015-02-22,82
2015-03-01,81
2015-03-08,80
2015-03-15,81
2015-03-22,80
2015-03-29,82
2015-04-05,79
2015-04-12,79
2015-04-19,77
2015-04-26,82
2015-05-03,77
2015-05-10,82
2015-05-17,80
2015-05-24,78
2015-05-31,79
2015-06-07,82
2015-06-14,77
2015-06-21,81
2015-06-28,81
2015-07-05,80
2015-07-12,80
2015-07-19,78
2015-07-26,77
2015-08-02,77
2015-08-09,82
2015-08-16,80
2015-08-23,78
2015-08-30,77
2015-09-06,78
2015-09-13,75
2015-09-20,78
2015-09-27,76
2015-10-04,75
2015-10-11,78
2015-10-18,75
2015-10-25,76
2015-11-01,76
2015-11-08,76
2015-11-15,78
2015-11-22,78
2015-11-29,78
2015-12-06,78
2015-12-13,81
2015-12-20,88
2015-12-27,91
2016-01-03,84
2016-01-10,82
2016-01-17,81
2016-01-24,81
2016-01-31,81
2016-02-07,88
2016-02-14,90
2016-02-21,81
2016-02-28,79
2016-03-06,77
2016-03-13,77
2016-03-20,79
2016-03-27,78
2016-04-03,81
2016-04-10,77
2016-04-17,80
2016-04-24,79
2016-05-01,78
2016-05-08,78
2016-05-15,77
2016-05-22,80
2016-05-29,83
2016-06-05,80
2016-06-12,83
2016-06-19,85
2016-06-26,83
2016-07-03,85
2016-07-10,80
2016-07-17,79
2016-07-24,81
2016-07-31,80
2016-08-07,78
2016-08-14,75
2016-08-21,80
2016-08-28,80
2016-09-04,79
2016-09-11,82
2016-09-18,79
2016-09-25,75
2016-10-02,76
2016-10-09,80
2016-10-16,77
2016-10-23,78
2016-10-30,76
2016-11-06,77
2016-11-13,78
2016-11-20,76
2016-11-27,77
2016-12-04,76
2016-12-11,81
2016-12-18,83
2016-12-25,84
2017-01-01,79
2017-01-08,76
2017-01-15,74
2017-01-22,77
2017-01-29,75
2017-02-05,81
2017-02-12,87
2017-02-19,78
2017-02-26,74
2017-03-05,76
2017-03-12,74
2017-03-19,76
2017-03-26,76
2017-04-02,72
2017-04-09,72
2017-04-16,74
2017-04-23,71
2017-04-30,74
2017-05-07,71
2017-05-14,71
2017-05-21,71
2017-05-28,72
2017-06-04,85
2017-06-11,76
2017-06-18,74
2017-06-25,78
2017-07-02,80
2017-07-09,80
2017-07-16,80
2017-07-23,79
2017-07-30,74
2017-08-06,70
2017-08-13,75
2017-08-20,70
2017-08-27,65
2017-09-03,66
2017-09-10,67
2017-09-17,68
2017-09-24,67
2017-10-01,66
2017-10-08,65
2017-10-15,64
2017-10-22,64
2017-10-29,64
2017-11-05,66
2017-11-12,65
2017-11-19,65
2017-11-26,69
2017-12-03,68
2017-12-10,68
2017-12-17,68
2017-12-24,75
2017-12-31,69
2018-01-07,67
2018-01-14,66
2018-01-21,67
2018-01-28,68
2018-02-04,68
2018-02-11,84
2018-02-18,69
2018-02-25,65
2018-03-04,66
2018-03-11,67
2018-03-18,68
2018-03-25,70
2018-04-01,67
2018-04-08,65
2018-04-15,68
2018-04-22,68
2018-04-29,68
2018-05-06,69
2018-05-13,68
2018-05-20,72
2018-05-27,74
2018-06-03,78
2018-06-10,79
2018-06-17,77
2018-06-24,75
2018-07-01,79
2018-07-08,80
2018-07-15,81
2018-07-22,81
2018-07-29,78
2018-08-05,73
2018-08-12,72
2018-08-19,73
2018-08-26,68
2018-09-02,68
2018-09-09,69
2018-09-16,70
2018-09-23,70
2018-09-30,70
2018-10-07,67
2018-10-14,70
2018-10-21,66
2018-10-28,68
2018-11-04,69
2018-11-11,68
2018-11-18,67
2018-11-25,66
2018-12-02,67
2018-12-09,67
2018-12-16,69
2018-12-23,72
2018-12-30,69
2019-01-06,64
2019-01-13,66
2019-01-20,66
2019-01-27,65
2019-02-03,71
2019-02-10,78
