Categoría: Todas las categorías

Semana,pepsico: (Todo el mundo)
2014-02-16,48
2014-02-23,47
2014-03-02,46
2014-03-09,48
2014-03-16,47
2014-03-23,50
2014-03-30,53
2014-04-06,50
2014-04-13,48
2014-04-20,52
2014-04-27,50
2014-05-04,52
2014-05-11,50
2014-05-18,51
2014-05-25,49
2014-06-01,49
2014-06-08,47
2014-06-15,46
2014-06-22,45
2014-06-29,50
2014-07-06,47
2014-07-13,44
2014-07-20,51
2014-07-27,49
2014-08-03,46
2014-08-10,45
2014-08-17,46
2014-08-24,50
2014-08-31,44
2014-09-07,50
2014-09-14,53
2014-09-21,49
2014-09-28,53
2014-10-05,49
2014-10-12,47
2014-10-19,46
2014-10-26,47
2014-11-02,48
2014-11-09,45
2014-11-16,48
2014-11-23,39
2014-11-30,45
2014-12-07,47
2014-12-14,40
2014-12-21,30
2014-12-28,32
2015-01-04,44
2015-01-11,48
2015-01-18,48
2015-01-25,48
2015-02-01,47
2015-02-08,47
2015-02-15,46
2015-02-22,47
2015-03-01,46
2015-03-08,46
2015-03-15,43
2015-03-22,44
2015-03-29,42
2015-04-05,46
2015-04-12,45
2015-04-19,51
2015-04-26,45
2015-05-03,43
2015-05-10,46
2015-05-17,45
2015-05-24,44
2015-05-31,46
2015-06-07,44
2015-06-14,44
2015-06-21,42
2015-06-28,41
2015-07-05,42
2015-07-12,40
2015-07-19,42
2015-07-26,41
2015-08-02,43
2015-08-09,44
2015-08-16,46
2015-08-23,45
2015-08-30,41
2015-09-06,42
2015-09-13,44
2015-09-20,46
2015-09-27,45
2015-10-04,47
2015-10-11,44
2015-10-18,43
2015-10-25,43
2015-11-01,46
2015-11-08,40
2015-11-15,45
2015-11-22,36
2015-11-29,40
2015-12-06,38
2015-12-13,36
2015-12-20,26
2015-12-27,26
2016-01-03,36
2016-01-10,39
2016-01-17,44
2016-01-24,43
2016-01-31,41
2016-02-07,45
2016-02-14,42
2016-02-21,44
2016-02-28,44
2016-03-06,40
2016-03-13,42
2016-03-20,36
2016-03-27,43
2016-04-03,44
2016-04-10,44
2016-04-17,48
2016-04-24,44
2016-05-01,41
2016-05-08,39
2016-05-15,38
2016-05-22,37
2016-05-29,36
2016-06-05,39
2016-06-12,37
2016-06-19,36
2016-06-26,38
2016-07-03,35
2016-07-10,34
2016-07-17,34
2016-07-24,36
2016-07-31,35
2016-08-07,35
2016-08-14,35
2016-08-21,36
2016-08-28,43
2016-09-04,39
2016-09-11,39
2016-09-18,43
2016-09-25,42
2016-10-02,37
2016-10-09,40
2016-10-16,45
2016-10-23,45
2016-10-30,41
2016-11-06,45
2016-11-13,62
2016-11-20,41
2016-11-27,40
2016-12-04,38
2016-12-11,40
2016-12-18,33
2016-12-25,27
2017-01-01,35
2017-01-08,41
2017-01-15,42
2017-01-22,47
2017-01-29,44
2017-02-05,44
2017-02-12,45
2017-02-19,42
2017-02-26,45
2017-03-05,44
2017-03-12,41
2017-03-19,46
2017-03-26,48
2017-04-02,51
2017-04-09,44
2017-04-16,42
2017-04-23,50
2017-04-30,45
2017-05-07,43
2017-05-14,41
2017-05-21,43
2017-05-28,40
2017-06-04,39
2017-06-11,39
2017-06-18,56
2017-06-25,42
2017-07-02,38
2017-07-09,100
2017-07-16,51
2017-07-23,40
2017-07-30,41
2017-08-06,38
2017-08-13,37
2017-08-20,38
2017-08-27,35
2017-09-03,36
2017-09-10,38
2017-09-17,46
2017-09-24,44
2017-10-01,43
2017-10-08,44
2017-10-15,43
2017-10-22,42
2017-10-29,39
2017-11-05,40
2017-11-12,41
2017-11-19,34
2017-11-26,39
2017-12-03,37
2017-12-10,37
2017-12-17,31
2017-12-24,25
2017-12-31,32
2018-01-07,36
2018-01-14,39
2018-01-21,43
2018-01-28,44
2018-02-04,51
2018-02-11,53
2018-02-18,42
2018-02-25,42
2018-03-04,43
2018-03-11,42
2018-03-18,43
2018-03-25,38
2018-04-01,42
2018-04-08,44
2018-04-15,42
2018-04-22,45
2018-04-29,39
2018-05-06,41
2018-05-13,41
2018-05-20,40
2018-05-27,41
2018-06-03,42
2018-06-10,41
2018-06-17,37
2018-06-24,39
2018-07-01,34
2018-07-08,44
2018-07-15,39
2018-07-22,38
2018-07-29,40
2018-08-05,69
2018-08-12,42
2018-08-19,49
2018-08-26,42
2018-09-02,41
2018-09-09,44
2018-09-16,43
2018-09-23,44
2018-09-30,48
2018-10-07,44
2018-10-14,45
2018-10-21,45
2018-10-28,41
2018-11-04,43
2018-11-11,38
2018-11-18,37
2018-11-25,43
2018-12-02,39
2018-12-09,39
2018-12-16,36
2018-12-23,30
2018-12-30,37
2019-01-06,44
2019-01-13,45
2019-01-20,44
2019-01-27,42
2019-02-03,44
2019-02-10,38
