,time,hour,Alcalde,Avila_Camacho,Enrique_Diaz_de_Leon,Federalismo,Hidalgo,Independencia,Juarez,Lazaro_Cardenas,Lopez_Mateos,Vallarta,origin,destination,Ruta
0,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
1,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
2,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
3,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
4,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
5,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
6,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
7,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
8,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
9,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
10,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
11,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
12,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
13,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710
14,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
15,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
16,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
17,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
18,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
19,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
20,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
21,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
22,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares,710
23,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad,258-A
24,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan,24
25,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas,24_L3
26,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías,635-A_25
27,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares,635-A
28,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad,631_TL1
29,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva,24
30,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
31,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
32,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
33,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
34,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
35,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
36,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
37,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
38,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
39,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
40,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
41,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
42,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
