time,hour,Alcalde,Avila_Camacho,Enrique_Diaz_de_Leon,Federalismo,Hidalgo,Independencia,Juarez,Lazaro_Cardenas,Lopez_Mateos,Vallarta
2019-05-03 05:44:21.352348,05,0,0,0,0,0,0,0,0,0,0
2019-05-03 06:44:21.352269,06,0,0,0,0,0,0,0,0,0,0
2019-05-03 07:44:21.352264,07,0,0,0,0,0,0,0,0,0,0
2019-05-03 08:44:21.352268,08,0,0,1,1,0,0,1,0,0,1
2019-05-03 09:44:21.352290,09,0,0,0,0,0,0,0,0,0,0
2019-05-03 10:44:21.352273,10,0,0,0,0,0,0,0,0,0,0
2019-05-03 11:44:21.350552,11,1,0,0,0,0,0,0,0,0,0
2019-05-03 12:44:21.350518,12,1,0,0,0,1,1,0,0,0,0
2019-05-03 13:44:21.350544,13,1,1,0,1,1,1,0,0,0,1
2019-05-03 14:44:21.350528,14,1,1,0,1,0,1,0,1,1,0
2019-05-03 15:44:21.350514,15,0,1,0,1,0,0,0,0,0,0
2019-05-03 16:44:21.350564,16,0,0,0,1,0,0,0,0,0,1
2019-05-03 17:44:21.350509,17,0,0,0,0,1,0,0,0,1,1
2019-05-03 18:44:21.350516,18,0,1,0,0,1,1,1,1,1,1
2019-05-03 19:44:21.350514,19,0,0,0,0,1,1,1,1,1,0
2019-05-03 20:44:21.350558,20,0,0,0,0,0,0,0,0,0,0
2019-05-03 21:44:21.350553,21,0,0,0,0,0,0,0,0,0,0
